Landsat Product Identifier,Landsat Scene Identifier,Acquisition Date,Spacecraft Identifier,Scan Line Corrector,Collection Category,Collection Number,Sensor Mode,WRS Path,WRS Row,Date L-1 Generated,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model (meters),Geometric RMSE Model X,Geometric RMSE Model Y,Image Quality,Gain Change,Processing Software Version,Full Partial Scene,Sun Elevation L-1,Sun Azimuth L-1,Gap Phase Source,Gap Phase Statistic,Data Type Level-1,Sensor Identifier,Ephemeris Type,Panchromatic Lines,Panchromatic Samples,Reflective Lines,Reflective Samples,Thermal Lines,Thermal Samples,Map Projection Level-1,UTM Zone,Datum,Ellipsoid,Grid Cell Size Panchromatic,Grid Cell Size Reflective,Grid Cell Size Thermal,Calibration Parameter File,Scan Gap Interpolation,Center Latitude,Center Longitude,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LL Corner Lat,LL Corner Long,LR Corner Lat,LR Corner Long,Center Latitude dec,Center Longitude dec,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,LR Corner Lat dec,LR Corner Long dec,Display ID,Ordering ID,Browse Link
LE07_L1TP_090084_20000929_20170209_01_T1,LE70900842000273ASA00,2000/09/29,LANDSAT_7,ON,T1,1,SAM, 090, 084,2017/02/09,2000:273:23:40:31.0893749,2000:273:23:40:58.0821250,ASA - Alice Springs  Austrailia,Day,0,0,217,4,4.124,2.923,2.909,9,N,LPGS_12.8.3,FULL,46.16058534,50.78358862,NA,,ETM_L1TP,ETM,DEFINITIVE,14561,16201,7281,8101,7281,8101,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20000719_20000930_01.02,-1,34°37'02.82"S,149°49'42.28"E,33°39'27.36"S,149°01'31.73"E,33°57'20.34"S,151°05'07.91"E,35°16'09.84"S,148°33'03.74"E,35°34'24.71"S,150°39'07.60"E,-34.61745,149.82841,-33.6576,149.02548,-33.95565,151.08553,-35.2694,148.55104,-35.57353,150.65211,LE07_L1TP_090084_20000929_20170209_01_T1,LE70900842000273ASA00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842000273ASA00
LE07_L1TP_090084_20000913_20170210_01_T1,LE70900842000257AGS00,2000/09/13,LANDSAT_7,ON,T1,1,, 090, 084,2017/02/10,2000:257:23:40:41.6420480,2000:257:23:41:08.6312980,AGS - Poker Flats  Alaska  USA,Day,0,0,217,4,4.209,2.791,3.15,9,N,LPGS_12.8.3,FULL,40.45930562,46.93636026,,,ETM_L1TP,ETM,DEFINITIVE,14561,16221,7281,8111,7281,8111,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20000719_20000930_01.02,-1,34°36'43.20"S,149°50'16.08"E,33°39'06.12"S,149°02'07.44"E,33°56'57.84"S,151°05'42.00"E,35°16'04.08"S,148°33'32.40"E,35°34'17.04"S,150°39'35.28"E,-34.612,149.8378,-33.6517,149.0354,-33.9494,151.095,-35.2678,148.559,-35.5714,150.6598,LE07_L1TP_090084_20000913_20170210_01_T1,LE70900842000257AGS00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842000257AGS00
LE07_L1TP_090084_20000828_20170210_01_T1,LE70900842000241EDC00,2000/08/28,LANDSAT_7,ON,T1,1,, 090, 084,2017/02/10,2000:241:23:40:59.8163558,2000:241:23:41:26.8020433,EDC Sioux Falls  South Dakota  USA (aka LGS),Day,54,53,131,4,4.181,2.738,3.16,9,N,LPGS_12.8.3,FULL,34.90571311,43.80714218,,,ETM_L1TP,ETM,DEFINITIVE,14561,16221,7281,8111,7281,8111,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20000719_20000930_01.02,-1,34°36'43.20"S,149°49'04.80"E,33°38'56.40"S,149°00'58.32"E,33°56'48.12"S,151°04'33.24"E,35°15'51.48"S,148°32'24.36"E,35°34'04.80"S,150°38'27.24"E,-34.612,149.818,-33.649,149.0162,-33.9467,151.0759,-35.2643,148.5401,-35.568,150.6409,LE07_L1TP_090084_20000828_20170210_01_T1,LE70900842000241EDC00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842000241EDC00
LE07_L1GT_090084_20000812_20170210_01_T2,LE70900842000225ASA00,2000/08/12,LANDSAT_7,ON,T2,1,SAM, 090, 084,2017/02/10,2000:225:23:41:09.6603125,2000:225:23:41:36.6429375,ASA - Alice Springs  Austrailia,Day,94,94,-1,-1,,,,9,N,LPGS_12.8.3,FULL,30.01779325,41.10500138,NA,,ETM_L1GT,ETM,DEFINITIVE,14561,16241,7281,8121,7281,8121,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20000719_20000930_01.02,-1,34°37'00.66"S,149°50'00.92"E,33°39'18.83"S,149°01'54.19"E,33°57'12.96"S,151°05'30.08"E,35°15'57.42"S,148°33'24.19"E,35°34'13.22"S,150°39'27.65"E,-34.61685,149.83359,-33.65523,149.03172,-33.9536,151.09169,-35.26595,148.55672,-35.57034,150.65768,LE07_L1GT_090084_20000812_20170210_01_T2,LE70900842000225ASA00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842000225ASA00
LE07_L1TP_090084_20000727_20170210_01_T1,LE70900842000209ASA00,2000/07/27,LANDSAT_7,ON,T1,1,SAM, 090, 084,2017/02/10,2000:209:23:41:16.1276249,2000:209:23:41:43.1074999,ASA - Alice Springs  Austrailia,Day,16,16,186,4,4.456,3.085,3.215,9,N,LPGS_12.8.3,FULL,26.22397879,38.72273501,NA,,ETM_L1TP,ETM,DEFINITIVE,14561,16241,7281,8121,7281,8121,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20000719_20000930_01.02,-1,34°36'59.15"S,149°51'19.80"E,33°39'22.57"S,149°03'11.92"E,33°57'17.10"S,151°06'49.39"E,35°16'03.07"S,148°34'41.59"E,35°34'19.20"S,150°40'46.88"E,-34.61643,149.8555,-33.65627,149.05331,-33.95475,151.11372,-35.26752,148.57822,-35.572,150.67969,LE07_L1TP_090084_20000727_20170210_01_T1,LE70900842000209ASA00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842000209ASA00
LE07_L1TP_090084_20000711_20170210_01_T1,LE70900842000193EDC00,2000/07/11,LANDSAT_7,ON,T1,1,, 090, 084,2017/02/10,2000:193:23:41:33.3042206,2000:193:23:42:00.2822206,EDC Sioux Falls  South Dakota  USA (aka LGS),Day,28,27,155,4,4.828,3.648,3.163,9,N,LPGS_12.8.3,FULL,23.82830869,36.72585662,,,ETM_L1TP,ETM,DEFINITIVE,14561,16221,7281,8111,7281,8111,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20000701_20000718_01.02,-1,34°36'43.20"S,149°49'13.44"E,33°39'09.36"S,149°01'04.80"E,33°57'07.92"S,151°04'39.36"E,35°16'03.00"S,148°32'29.04"E,35°34'23.16"S,150°38'31.92"E,-34.612,149.8204,-33.6526,149.018,-33.9522,151.0776,-35.2675,148.5414,-35.5731,150.6422,LE07_L1TP_090084_20000711_20170210_01_T1,LE70900842000193EDC00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842000193EDC00
LE07_L1TP_090084_20000625_20170211_01_T1,LE70900842000177SGS00,2000/06/25,LANDSAT_7,ON,T1,1,, 090, 084,2017/02/11,2000:177:23:41:47.5721556,2000:177:23:42:14.5482806,SGS - Svalbard  Norway,Day,17,17,111,4,4.566,3.429,3.015,9,N,LPGS_12.8.3,FULL,23.00075034,35.2819455,,,ETM_L1TP,ETM,DEFINITIVE,14561,16221,7281,8111,7281,8111,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20000401_20000630_01.02,-1,34°36'43.20"S,149°48'25.20"E,33°39'06.84"S,149°00'15.48"E,33°57'05.04"S,151°03'47.88"E,35°16'03.36"S,148°31'42.60"E,35°34'23.52"S,150°37'43.32"E,-34.612,149.807,-33.6519,149.0043,-33.9514,151.0633,-35.2676,148.5285,-35.5732,150.6287,LE07_L1TP_090084_20000625_20170211_01_T1,LE70900842000177SGS00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842000177SGS00
LE07_L1GT_090084_20000609_20170211_01_T2,LE70900842000161ASA00,2000/06/09,LANDSAT_7,ON,T2,1,SAM, 090, 084,2017/02/11,2000:161:23:41:55.7305000,2000:161:23:42:22.7038125,ASA - Alice Springs  Austrailia,Day,26,25,-1,-1,,,,9,N,LPGS_12.8.3,FULL,23.71306095,34.70138135,NA,,ETM_L1GT,ETM,DEFINITIVE,14561,16201,7281,8101,7281,8101,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20000401_20000630_01.02,-1,34°36'53.89"S,149°49'11.82"E,33°39'17.57"S,149°01'04.44"E,33°57'15.84"S,151°04'37.24"E,35°15'55.94"S,148°32'32.64"E,35°34'15.89"S,150°38'33.07"E,-34.61497,149.81995,-33.65488,149.0179,-33.9544,151.07701,-35.26554,148.5424,-35.57108,150.64252,LE07_L1GT_090084_20000609_20170211_01_T2,LE70900842000161ASA00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842000161ASA00
LE07_L1GT_090084_20000524_20170211_01_T2,LE70900842000145ASA00,2000/05/24,LANDSAT_7,ON,T2,1,SAM, 090, 084,2017/02/11,2000:145:23:42:02.2630000,2000:145:23:42:29.2346875,ASA - Alice Springs  Austrailia,Day,92,92,-1,-1,,,,9,N,LPGS_12.8.3,FULL,25.79400632,35.26639224,NA,,ETM_L1GT,ETM,DEFINITIVE,14541,16221,7271,8111,7271,8111,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20000401_20000630_01.02,-1,34°36'53.42"S,149°50'03.34"E,33°39'21.28"S,149°01'52.43"E,33°57'19.55"S,151°05'25.30"E,35°15'58.75"S,148°33'24.95"E,35°34'18.88"S,150°39'25.31"E,-34.61484,149.83426,-33.65591,149.03123,-33.95543,151.09036,-35.26632,148.55693,-35.57191,150.65703,LE07_L1GT_090084_20000524_20170211_01_T2,LE70900842000145ASA00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842000145ASA00
LE07_L1TP_090084_20000508_20170212_01_T1,LE70900842000129EDC00,2000/05/08,LANDSAT_7,ON,T1,1,, 090, 084,2017/02/12,2000:129:23:42:12.6160084,2000:129:23:42:39.5878084,EDC Sioux Falls  South Dakota  USA (aka LGS),Day,20,19,188,4,4.494,3.225,3.13,9,N,LPGS_12.8.3,FULL,28.94197503,37.21117583,,,ETM_L1TP,ETM,DEFINITIVE,14541,16201,7271,8101,7271,8101,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20000401_20000630_01.02,-1,34°36'43.20"S,149°49'30.72"E,33°38'54.96"S,149°01'25.32"E,33°56'53.16"S,151°04'57.00"E,35°15'51.84"S,148°32'52.08"E,35°34'11.64"S,150°38'51.72"E,-34.612,149.8252,-33.6486,149.0237,-33.9481,151.0825,-35.2644,148.5478,-35.5699,150.6477,LE07_L1TP_090084_20000508_20170212_01_T1,LE70900842000129EDC00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842000129EDC00
