Landsat Product Identifier,Landsat Scene Identifier,Acquisition Date,Spacecraft Identifier,Scan Line Corrector,Collection Category,Collection Number,Sensor Mode,WRS Path,WRS Row,Date L-1 Generated,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model (meters),Geometric RMSE Model X,Geometric RMSE Model Y,Image Quality,Gain Change,Processing Software Version,Full Partial Scene,Sun Elevation L-1,Sun Azimuth L-1,Gap Phase Source,Gap Phase Statistic,Data Type Level-1,Sensor Identifier,Ephemeris Type,Panchromatic Lines,Panchromatic Samples,Reflective Lines,Reflective Samples,Thermal Lines,Thermal Samples,Map Projection Level-1,UTM Zone,Datum,Ellipsoid,Grid Cell Size Panchromatic,Grid Cell Size Reflective,Grid Cell Size Thermal,Calibration Parameter File,Scan Gap Interpolation,Center Latitude,Center Longitude,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LL Corner Lat,LL Corner Long,LR Corner Lat,LR Corner Long,Center Latitude dec,Center Longitude dec,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,LR Corner Lat dec,LR Corner Long dec,Display ID,Ordering ID,Browse Link
LE07_L1TP_090084_20071222_20161231_01_T1,LE70900842007356ASN00,2007/12/22,LANDSAT_7,OFF,T1,1,, 090, 084,2016/12/31,2007:356:23:40:24.4397500,2007:356:23:40:51.1937500,ASN - Alice Springs  Australia,Day,23,23,71,4,7.597,5.016,5.705,9,N,LPGS_12.8.2,FULL,57.71907166,79.22506207,DE,9.603826,ETM_L1TP,ETM,DEFINITIVE,14501,16521,7251,8261,7251,8261,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20071001_20071231_01.02,2,34°35'12.12"S,149°38'13.56"E,33°37'57.72"S,148°50'02.04"E,33°56'00.24"S,150°53'38.04"E,35°13'46.92"S,148°21'36.72"E,35°32'11.04"S,150°27'38.88"E,-34.5867,149.6371,-33.6327,148.8339,-33.9334,150.8939,-35.2297,148.3602,-35.5364,150.4608,LE07_L1TP_090084_20071222_20161231_01_T1,LE70900842007356ASN00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842007356ASN00
LE07_L1TP_090084_20071206_20161231_01_T1,LE70900842007340ASN00,2007/12/06,LANDSAT_7,OFF,T1,1,, 090, 084,2016/12/31,2007:340:23:40:20.5731250,2007:340:23:40:47.3270624,ASN - Alice Springs  Australia,Day,60,60,48,4,4.825,3.306,3.515,9,N,LPGS_12.8.2,FULL,58.79653527,76.14372139,DE,2.009981,ETM_L1TP,ETM,DEFINITIVE,14541,16521,7271,8261,7271,8261,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20071001_20071231_01.02,2,34°34'39.72"S,149°38'32.64"E,33°37'17.76"S,148°50'22.56"E,33°55'19.20"S,150°53'54.96"E,35°13'05.88"S,148°22'00.12"E,35°31'28.92"S,150°27'58.68"E,-34.5777,149.6424,-33.6216,148.8396,-33.922,150.8986,-35.2183,148.3667,-35.5247,150.4663,LE07_L1TP_090084_20071206_20161231_01_T1,LE70900842007340ASN00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842007340ASN00
LE07_L1TP_090084_20071120_20170101_01_T1,LE70900842007324ASN00,2007/11/20,LANDSAT_7,OFF,T1,1,, 090, 084,2017/01/01,2007:324:23:40:14.3945624,2007:324:23:40:41.1485624,ASN - Alice Springs  Australia,Day,2,2,117,4,4.679,3.175,3.437,9,N,LPGS_12.8.2,FULL,58.38411159,70.38709995,DE,-13.426937,ETM_L1TP,ETM,DEFINITIVE,14501,16521,7251,8261,7251,8261,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20071001_20071231_01.02,2,34°34'17.40"S,149°39'18.72"E,33°36'58.32"S,148°51'09.72"E,33°54'57.96"S,150°54'38.88"E,35°12'48.60"S,148°22'49.44"E,35°31'10.20"S,150°28'44.76"E,-34.5715,149.6552,-33.6162,148.8527,-33.9161,150.9108,-35.2135,148.3804,-35.5195,150.4791,LE07_L1TP_090084_20071120_20170101_01_T1,LE70900842007324ASN00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842007324ASN00
LE07_L1TP_090084_20071104_20170101_01_T1,LE70900842007308ASN00,2007/11/04,LANDSAT_7,OFF,T1,1,, 090, 084,2017/01/01,2007:308:23:40:05.8610000,2007:308:23:40:32.6150624,ASN - Alice Springs  Australia,Day,77,77,17,4,4.577,3.302,3.169,9,N,LPGS_12.8.2,FULL,56.17071231,63.53479059,DE,-10.584959,ETM_L1TP,ETM,DEFINITIVE,14501,16501,7251,8251,7251,8251,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20071001_20071231_01.02,2,34°34'07.32"S,149°40'31.80"E,33°36'51.84"S,148°52'22.80"E,33°54'50.04"S,150°55'50.16"E,35°12'46.44"S,148°24'00.72"E,35°31'06.60"S,150°29'54.24"E,-34.5687,149.6755,-33.6144,148.873,-33.9139,150.9306,-35.2129,148.4002,-35.5185,150.4984,LE07_L1TP_090084_20071104_20170101_01_T1,LE70900842007308ASN00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842007308ASN00
LE07_L1TP_090084_20071019_20170102_01_T1,LE70900842007292ASN00,2007/10/19,LANDSAT_7,OFF,T1,1,, 090, 084,2017/01/02,2007:292:23:39:55.0914999,2007:292:23:40:21.8455625,ASN - Alice Springs  Australia,Day,1,1,155,4,4.43,3.098,3.166,9,N,LPGS_12.8.2,FULL,52.26122361,57.19877522,DE,3.154593,ETM_L1TP,ETM,DEFINITIVE,14501,16501,7251,8251,7251,8251,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20071001_20071231_01.02,2,34°34'08.40"S,149°42'03.24"E,33°36'52.20"S,148°53'56.04"E,33°54'49.32"S,150°57'25.20"E,35°12'41.76"S,148°25'34.68"E,35°31'00.48"S,150°31'30.00"E,-34.569,149.7009,-33.6145,148.8989,-33.9137,150.957,-35.2116,148.4263,-35.5168,150.525,LE07_L1TP_090084_20071019_20170102_01_T1,LE70900842007292ASN00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842007292ASN00
LE07_L1TP_090084_20070917_20170102_01_T1,LE70900842007260ASN00,2007/09/17,LANDSAT_7,OFF,T1,1,, 090, 084,2017/01/02,2007:260:23:39:52.5889375,2007:260:23:40:19.3429999,ASN - Alice Springs  Australia,Day,48,48,43,4,4.396,3.2,3.014,9,N,LPGS_12.8.2,FULL,41.48876298,47.99036512,DE,3.167919,ETM_L1TP,ETM,DEFINITIVE,14501,16521,7251,8261,7251,8261,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20070701_20070930_01.02,2,34°35'00.96"S,149°44'52.80"E,33°37'49.44"S,148°56'34.44"E,33°55'39.72"S,151°00'09.00"E,35°13'41.16"S,148°28'22.80"E,35°31'52.68"S,150°34'23.52"E,-34.5836,149.748,-33.6304,148.9429,-33.9277,151.0025,-35.2281,148.473,-35.5313,150.5732,LE07_L1TP_090084_20070917_20170102_01_T1,LE70900842007260ASN00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842007260ASN00
LE07_L1TP_090084_20070901_20170101_01_T1,LE70900842007244ASN00,2007/09/01,LANDSAT_7,OFF,T1,1,, 090, 084,2017/01/01,2007:244:23:39:58.9978125,2007:244:23:40:25.7516875,ASN - Alice Springs  Australia,Day,6,6,137,4,4.281,2.863,3.183,9,N,LPGS_12.8.2,FULL,35.85107335,44.72860726,DE,-7.631468,ETM_L1TP,ETM,DEFINITIVE,14541,16501,7271,8251,7271,8251,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20070701_20070930_01.02,2,34°35'33.00"S,149°45'18.00"E,33°38'19.68"S,148°56'58.92"E,33°56'09.24"S,151°00'36.72"E,35°14'10.68"S,148°28'49.44"E,35°32'22.20"S,150°34'53.76"E,-34.5925,149.755,-33.6388,148.9497,-33.9359,151.0102,-35.2363,148.4804,-35.5395,150.5816,LE07_L1TP_090084_20070901_20170101_01_T1,LE70900842007244ASN00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842007244ASN00
LE07_L1TP_090084_20070816_20170102_01_T1,LE70900842007228ASA00,2007/08/16,LANDSAT_7,OFF,T1,1,BUMPER, 090, 084,2017/01/02,2007:228:23:40:06.1738125,2007:228:23:40:32.9276875,ASA - Alice Springs  Austrailia,Day,62,61,77,4,4.675,3.3,3.311,9,N,LPGS_12.8.2,FULL,30.80319062,41.89111143,DE,-11.577543,ETM_L1TP,ETM,DEFINITIVE,14541,16521,7271,8261,7271,8261,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20070701_20070930_01.02,2,34°36'55.69"S,149°49'24.89"E,33°39'40.97"S,149°01'09.98"E,33°57'36.43"S,151°04'49.76"E,35°15'29.77"S,148°32'52.15"E,35°33'46.69"S,150°38'58.45"E,-34.61547,149.82358,-33.66138,149.01944,-33.96012,151.08049,-35.25827,148.54782,-35.56297,150.64957,LE07_L1TP_090084_20070816_20170102_01_T1,LE70900842007228ASA00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842007228ASA00
LE07_L1TP_090084_20070731_20170102_01_T1,LE70900842007212ASN00,2007/07/31,LANDSAT_7,OFF,T1,1,, 090, 084,2017/01/02,2007:212:23:40:11.9540625,2007:212:23:40:38.7081249,ASN - Alice Springs  Australia,Day,31,30,141,4,5.906,3.507,4.752,9,N,LPGS_12.8.2,FULL,26.71175622,39.52037736,DE,-10.416662,ETM_L1TP,ETM,DEFINITIVE,14561,16501,7281,8251,7281,8251,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20070701_20070930_01.02,2,34°36'52.92"S,149°44'53.88"E,33°39'37.80"S,148°56'36.60"E,33°57'26.64"S,151°00'16.20"E,35°15'28.44"S,148°28'26.40"E,35°33'39.24"S,150°34'32.52"E,-34.6147,149.7483,-33.6605,148.9435,-33.9574,151.0045,-35.2579,148.474,-35.5609,150.5757,LE07_L1TP_090084_20070731_20170102_01_T1,LE70900842007212ASN00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842007212ASN00
LE07_L1TP_090084_20070715_20170102_01_T1,LE70900842007196ASN00,2007/07/15,LANDSAT_7,OFF,T1,1,, 090, 084,2017/01/02,2007:196:23:40:16.3253750,2007:196:23:40:43.0794374,ASN - Alice Springs  Australia,Day,59,58,126,4,5.314,3.986,3.514,9,N,LPGS_12.8.2,FULL,23.99594422,37.43689446,DE,1.969262,ETM_L1TP,ETM,DEFINITIVE,14501,16501,7251,8251,7251,8251,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20070701_20070930_01.02,2,34°37'35.04"S,149°44'43.44"E,33°40'22.08"S,148°56'27.60"E,33°58'11.28"S,151°00'05.40"E,35°16'11.28"S,148°28'14.88"E,35°34'21.72"S,150°34'19.20"E,-34.6264,149.7454,-33.6728,148.941,-33.9698,151.0015,-35.2698,148.4708,-35.5727,150.572,LE07_L1TP_090084_20070715_20170102_01_T1,LE70900842007196ASN00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842007196ASN00
