Landsat Product Identifier,Landsat Scene Identifier,Acquisition Date,Spacecraft Identifier,Collection Category,Collection Number,Sensor Mode,WRS Path,WRS Row,Date L-1 Generated,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model (meters),Geometric RMSE Model X,Geometric RMSE Model Y,Sensor Anomalies,Data Anomaly,Image Quality,Gain Change,Processing Software Version,Full Partial Scene,Sun Elevation L-1,Sun Azimuth L-1,Data Type Level-1,Sensor Identifier,Ephemeris Type,Reflective Lines,Reflective Samples,Thermal Lines,Thermal Samples,Map Projection Level-1,UTM Zone,Datum,Ellipsoid,Grid Cell Size Reflective,Grid Cell Size Thermal,Calibration Parameter File,Center Latitude,Center Longitude,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LL Corner Lat,LL Corner Long,LR Corner Lat,LR Corner Long,Center Latitude dec,Center Longitude dec,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,LR Corner Lat dec,LR Corner Long dec,Display ID,Ordering ID,Browse Link
LT05_L1TP_090084_19920424_20170123_01_T1,LT50900841992115ASA00,1992/04/24,LANDSAT_5,T1,1,SAM, 090, 084,2017/01/23,1992:115:23:13:55.1483100,1992:115:23:14:22.0131300,ASA,DAY,33,33,116,4,4.664,3.271,3.325,N,,9,N,LPGS_12.8.3,FULL,28.26265488,46.71424318,TM_L1TP,TM,DEFINITIVE,7261,8051,7261,8051,UTM,55,WGS84,WGS84,30,30,LT05CPF_19920401_19920630_01.03,34°35'53.30"S,149°46'45.48"E,33°39'39.06"S,149°01'06.35"E,33°56'50.03"S,150°59'12.41"E,35°14'16.62"S,148°33'14.18"E,35°31'46.88"S,150°33'30.85"E,-34.59814,149.7793,-33.66085,149.01843,-33.94723,150.98678,-35.23795,148.55394,-35.52969,150.55857,LT05_L1TP_090084_19920424_20170123_01_T1,LT50900841992115ASA00,https://earthexplorer.usgs.gov/browse-link/12266/LT50900841992115ASA00
LT05_L1TP_090084_19920408_20170124_01_T1,LT50900841992099ASA00,1992/04/08,LANDSAT_5,T1,1,SAM, 090, 084,2017/01/24,1992:099:23:14:02.8911900,1992:099:23:14:29.7548100,ASA,DAY,33,33,101,4,4.423,2.624,3.561,N,,9,N,LPGS_12.8.3,FULL,32.05275413,51.60194088,TM_L1TP,TM,DEFINITIVE,7261,8041,7261,8041,UTM,55,WGS84,WGS84,30,30,LT05CPF_19920401_19920630_01.03,34°36'12.82"S,149°46'40.76"E,33°39'58.54"S,149°01'01.52"E,33°57'09.58"S,150°59'07.98"E,35°14'36.10"S,148°33'09.14"E,35°32'06.43"S,150°33'26.28"E,-34.60356,149.77799,-33.66626,149.01709,-33.95266,150.98555,-35.24336,148.55254,-35.53512,150.5573,LT05_L1TP_090084_19920408_20170124_01_T1,LT50900841992099ASA00,https://earthexplorer.usgs.gov/browse-link/12266/LT50900841992099ASA00
LT05_L1TP_090084_19920323_20170124_01_T1,LT50900841992083ASA00,1992/03/23,LANDSAT_5,T1,1,SAM, 090, 084,2017/01/24,1992:083:23:14:12.1841900,1992:083:23:14:39.0466300,ASA,DAY,25,24,120,4,4.47,2.995,3.318,N,,9,N,LPGS_12.8.3,FULL,35.83865234,57.62396086,TM_L1TP,TM,DEFINITIVE,7261,8041,7261,8041,UTM,55,WGS84,WGS84,30,30,LT05CPF_19920101_19920331_01.03,34°36'06.55"S,149°46'00.23"E,33°39'52.27"S,149°00'21.02"E,33°57'03.31"S,150°58'27.37"E,35°14'29.83"S,148°32'28.72"E,35°32'00.13"S,150°32'45.67"E,-34.60182,149.76673,-33.66452,149.00584,-33.95092,150.97427,-35.24162,148.54131,-35.53337,150.54602,LT05_L1TP_090084_19920323_20170124_01_T1,LT50900841992083ASA00,https://earthexplorer.usgs.gov/browse-link/12266/LT50900841992083ASA00
LT05_L1TP_090084_19920307_20170124_01_T1,LT50900841992067ASA00,1992/03/07,LANDSAT_5,T1,1,SAM, 090, 084,2017/01/24,1992:067:23:14:15.3087500,1992:067:23:14:42.1701900,ASA,DAY,79,79,38,4,4.719,3.23,3.441,N,,9,N,LPGS_12.8.3,FULL,39.41810028,64.32656318,TM_L1TP,TM,DEFINITIVE,7261,8051,7261,8051,UTM,55,WGS84,WGS84,30,30,LT05CPF_19920101_19920331_01.03,34°36'08.42"S,149°46'30.18"E,33°39'54.14"S,149°00'50.94"E,33°57'05.18"S,150°58'57.36"E,35°14'31.70"S,148°32'58.63"E,35°32'02.00"S,150°33'15.66"E,-34.60234,149.77505,-33.66504,149.01415,-33.95144,150.9826,-35.24214,148.54962,-35.53389,150.55435,LT05_L1TP_090084_19920307_20170124_01_T1,LT50900841992067ASA00,https://earthexplorer.usgs.gov/browse-link/12266/LT50900841992067ASA00
LT05_L1TP_090084_19920220_20170123_01_T1,LT50900841992051ASA00,1992/02/20,LANDSAT_5,T1,1,SAM, 090, 084,2017/01/23,1992:051:23:14:13.4398100,1992:051:23:14:40.3002500,ASA,DAY,55,55,55,4,4.513,3.103,3.277,N,,9,N,LPGS_12.8.3,FULL,42.73148604,71.07513553,TM_L1TP,TM,DEFINITIVE,7261,8071,7261,8071,UTM,55,WGS84,WGS84,30,30,LT05CPF_19920101_19920331_01.03,34°36'31.43"S,149°47'51.43"E,33°40'17.11"S,149°02'12.05"E,33°57'28.22"S,151°00'18.94"E,35°14'54.67"S,148°34'19.52"E,35°32'25.04"S,150°34'37.09"E,-34.60873,149.79762,-33.67142,149.03668,-33.95784,151.00526,-35.24852,148.57209,-35.54029,150.57697,LT05_L1TP_090084_19920220_20170123_01_T1,LT50900841992051ASA00,https://earthexplorer.usgs.gov/browse-link/12266/LT50900841992051ASA00
LT05_L1GS_090084_19920204_20170123_01_T2,LT50900841992035ASA00,1992/02/04,LANDSAT_5,T2,1,SAM, 090, 084,2017/01/23,1992:035:23:14:19.4429400,1992:035:23:14:46.3025000,ASA,DAY,43,43,-1,-1,,,,N,,9,N,LPGS_12.8.3,FULL,45.78738944,77.13743218,TM_L1GS,TM,DEFINITIVE,7261,8071,7261,8071,UTM,55,WGS84,WGS84,30,30,LT05CPF_19920101_19920331_01.03,34°36'19.84"S,149°46'59.59"E,33°40'05.56"S,149°01'20.28"E,33°57'16.63"S,150°59'26.92"E,35°14'43.12"S,148°33'27.86"E,35°32'13.45"S,150°33'45.14"E,-34.60551,149.78322,-33.66821,149.0223,-33.95462,150.99081,-35.24531,148.55774,-35.53707,150.56254,LT05_L1GS_090084_19920204_20170123_01_T2,LT50900841992035ASA00,https://earthexplorer.usgs.gov/browse-link/12266/LT50900841992035ASA00
LT05_L1TP_090084_19920119_20170124_01_T1,LT50900841992019ASA00,1992/01/19,LANDSAT_5,T1,1,SAM, 090, 084,2017/01/24,1992:019:23:14:20.3060600,1992:019:23:14:47.1640600,ASA,DAY,0,0,160,4,5.025,3.851,3.228,N,,9,N,LPGS_12.8.3,FULL,48.5952457,81.70111168,TM_L1TP,TM,DEFINITIVE,7261,8061,7261,8061,UTM,55,WGS84,WGS84,30,30,LT05CPF_19920101_19920331_01.03,34°36'26.24"S,149°47'02.18"E,33°40'11.93"S,149°01'22.84"E,33°57'23.04"S,150°59'29.62"E,35°14'49.49"S,148°33'30.35"E,35°32'19.86"S,150°33'47.81"E,-34.60729,149.78394,-33.66998,149.02301,-33.9564,150.99156,-35.24708,148.55843,-35.53885,150.56328,LT05_L1TP_090084_19920119_20170124_01_T1,LT50900841992019ASA00,https://earthexplorer.usgs.gov/browse-link/12266/LT50900841992019ASA00
LT05_L1GS_090084_19920103_20170124_01_T2,LT50900841992003ASA00,1992/01/03,LANDSAT_5,T2,1,SAM, 090, 084,2017/01/24,1992:003:23:14:19.9281300,1992:003:23:14:46.7852500,ASA,DAY,11,11,-1,-1,,,,N,,9,N,LPGS_12.8.3,FULL,51.06580341,84.0153737,TM_L1GS,TM,DEFINITIVE,7261,8051,7261,8051,UTM,55,WGS84,WGS84,30,30,LT05CPF_19920101_19920331_01.03,34°36'15.44"S,149°47'09.89"E,33°40'01.16"S,149°01'30.61"E,33°57'12.24"S,150°59'37.14"E,35°14'38.72"S,148°33'38.23"E,35°32'09.06"S,150°33'55.40"E,-34.60429,149.78608,-33.66699,149.02517,-33.9534,150.99365,-35.24409,148.56062,-35.53585,150.56539,LT05_L1GS_090084_19920103_20170124_01_T2,LT50900841992003ASA00,https://earthexplorer.usgs.gov/browse-link/12266/LT50900841992003ASA00
LT05_L1TP_090084_19911218_20170124_01_T1,LT50900841991352ASA00,1991/12/18,LANDSAT_5,T1,1,SAM, 090, 084,2017/01/24,1991:352:23:14:24.4549400,1991:352:23:14:51.3108100,ASA,DAY,0,0,182,4,4.73,3.548,3.128,N,,9,N,LPGS_12.8.3,FULL,52.92111382,83.52760597,TM_L1TP,TM,DEFINITIVE,7261,8041,7261,8041,UTM,55,WGS84,WGS84,30,30,LT05CPF_19911001_19911231_01.03,34°35'46.97"S,149°45'48.67"E,33°39'32.72"S,149°00'09.61"E,33°56'43.69"S,150°58'15.49"E,35°14'10.32"S,148°32'17.45"E,35°31'40.55"S,150°32'33.97"E,-34.59638,149.76352,-33.65909,149.00267,-33.94547,150.97097,-35.2362,148.53818,-35.52793,150.54277,LT05_L1TP_090084_19911218_20170124_01_T1,LT50900841991352ASA00,https://earthexplorer.usgs.gov/browse-link/12266/LT50900841991352ASA00
LT05_L1TP_090084_19911202_20170125_01_T1,LT50900841991336ASA00,1991/12/02,LANDSAT_5,T1,1,SAM, 090, 084,2017/01/25,1991:336:23:14:30.9316900,1991:336:23:14:57.7864400,ASA,DAY,14,13,172,4,4.639,3.509,3.034,N,,9,N,LPGS_12.8.3,FULL,53.7244183,80.15523597,TM_L1TP,TM,DEFINITIVE,7261,8041,7261,8041,UTM,55,WGS84,WGS84,30,30,LT05CPF_19911001_19911231_01.03,34°35'37.00"S,149°43'40.37"E,33°39'22.75"S,148°58'01.38"E,33°56'33.72"S,150°56'07.04"E,35°14'00.35"S,148°30'09.32"E,35°31'30.54"S,150°30'25.60"E,-34.59361,149.72788,-33.65632,148.96705,-33.9427,150.93529,-35.23343,148.50259,-35.52515,150.50711,LT05_L1TP_090084_19911202_20170125_01_T1,LT50900841991336ASA00,https://earthexplorer.usgs.gov/browse-link/12266/LT50900841991336ASA00
