Landsat Product Identifier,Landsat Scene Identifier,Acquisition Date,Spacecraft Identifier,Scan Line Corrector,Collection Category,Collection Number,Sensor Mode,WRS Path,WRS Row,Date L-1 Generated,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model (meters),Geometric RMSE Model X,Geometric RMSE Model Y,Image Quality,Gain Change,Processing Software Version,Full Partial Scene,Sun Elevation L-1,Sun Azimuth L-1,Gap Phase Source,Gap Phase Statistic,Data Type Level-1,Sensor Identifier,Ephemeris Type,Panchromatic Lines,Panchromatic Samples,Reflective Lines,Reflective Samples,Thermal Lines,Thermal Samples,Map Projection Level-1,UTM Zone,Datum,Ellipsoid,Grid Cell Size Panchromatic,Grid Cell Size Reflective,Grid Cell Size Thermal,Calibration Parameter File,Scan Gap Interpolation,Center Latitude,Center Longitude,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LL Corner Lat,LL Corner Long,LR Corner Lat,LR Corner Long,Center Latitude dec,Center Longitude dec,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,LR Corner Lat dec,LR Corner Long dec,Display ID,Ordering ID,Browse Link
LE07_L1GT_090084_20140123_20161119_01_T2,LE70900842014023ASA00,2014/01/23,LANDSAT_7,OFF,T2,1,BUMPER, 090, 084,2016/11/19,2014:023:23:46:49.5639375,2014:023:23:47:16.3178124,ASA - Alice Springs  Austrailia,Day,100,100,-1,-1,,,,9,N,LPGS_12.8.2,FULL,54.31944587,74.12619064,DE,5.510697,ETM_L1GT,ETM,DEFINITIVE,14521,16621,7261,8311,7261,8311,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20140101_20140331_01.02,2,34°36'53.86"S,149°45'49.61"E,33°39'42.77"S,148°57'36.58"E,33°57'38.45"S,151°01'11.78"E,35°15'31.97"S,148°29'16.22"E,35°33'49.00"S,150°35'17.95"E,-34.61496,149.76378,-33.66188,148.96016,-33.96068,151.01994,-35.25888,148.48784,-35.56361,150.58832,LE07_L1GT_090084_20140123_20161119_01_T2,LE70900842014023ASA00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842014023ASA00
LE07_L1TP_090084_20140107_20161118_01_T1,LE70900842014007ASA00,2014/01/07,LANDSAT_7,OFF,T1,1,BUMPER, 090, 084,2016/11/18,2014:007:23:46:30.8292499,2014:007:23:46:57.5831249,ASA - Alice Springs  Austrailia,Day,80,80,19,4,4.604,3.179,3.33,9,N,LPGS_12.8.2,FULL,56.96661209,77.49573742,DE,-6.069579,ETM_L1TP,ETM,DEFINITIVE,14581,16641,7291,8321,7291,8321,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20140101_20140331_01.02,2,34°36'52.45"S,149°49'51.42"E,33°39'43.02"S,149°01'40.15"E,33°57'38.70"S,151°05'11.90"E,35°15'33.52"S,148°33'18.65"E,35°33'50.54"S,150°39'16.78"E,-34.61457,149.83095,-33.66195,149.02782,-33.96075,151.08664,-35.25931,148.55518,-35.56404,150.65466,LE07_L1TP_090084_20140107_20161118_01_T1,LE70900842014007ASA00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842014007ASA00
LE07_L1TP_090084_20131222_20161118_01_T1,LE70900842013356ASA00,2013/12/22,LANDSAT_7,OFF,T1,1,BUMPER, 090, 084,2016/11/18,2013:356:23:46:27.0813750,2013:356:23:46:53.8352500,ASA - Alice Springs  Austrailia,Day,89,90,10,4,3.848,2.831,2.606,9,N,LPGS_12.8.2,FULL,59.04006275,77.79997003,DE,14.606778,ETM_L1TP,ETM,DEFINITIVE,14521,16641,7261,8321,7261,8321,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20131001_20131231_01.02,2,34°36'51.55"S,149°49'52.57"E,33°39'36.04"S,149°01'39.97"E,33°57'31.90"S,151°05'12.30"E,35°15'27.79"S,148°33'22.10"E,35°33'45.36"S,150°39'20.70"E,-34.61432,149.83127,-33.66001,149.02777,-33.95886,151.08675,-35.25772,148.55614,-35.5626,150.65575,LE07_L1TP_090084_20131222_20161118_01_T1,LE70900842013356ASA00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842013356ASA00
LE07_L1TP_090084_20131206_20161119_01_T1,LE70900842013340ASA00,2013/12/06,LANDSAT_7,OFF,T1,1,BUMPER, 090, 084,2016/11/19,2013:340:23:46:25.3401875,2013:340:23:46:52.0942499,ASA - Alice Springs  Austrailia,Day,46,45,120,4,4.838,3.344,3.496,9,N,LPGS_12.8.2,FULL,60.12597793,74.68195422,DE,13.235547,ETM_L1TP,ETM,DEFINITIVE,14541,16641,7271,8321,7271,8321,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20131001_20131231_01.02,2,34°36'51.44"S,149°49'06.74"E,33°39'30.13"S,149°00'56.20"E,33°57'26.64"S,151°04'30.04"E,35°15'20.20"S,148°32'35.74"E,35°33'38.05"S,150°38'35.81"E,-34.61429,149.81854,-33.65837,149.01561,-33.9574,151.07501,-35.25561,148.54326,-35.56057,150.64328,LE07_L1TP_090084_20131206_20161119_01_T1,LE70900842013340ASA00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842013340ASA00
LE07_L1TP_090084_20131120_20161119_01_T1,LE70900842013324ASA00,2013/11/20,LANDSAT_7,OFF,T1,1,BUMPER, 090, 084,2016/11/19,2013:324:23:46:15.8414374,2013:324:23:46:42.5953124,ASA - Alice Springs  Austrailia,Day,61,62,37,4,5.869,3.816,4.459,9,N,LPGS_12.8.2,FULL,59.71771929,68.77428409,DE,-3.33598,ETM_L1TP,ETM,DEFINITIVE,14601,16661,7301,8331,7301,8331,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20131001_20131231_01.02,2,34°36'49.14"S,149°50'07.08"E,33°39'40.14"S,149°01'51.13"E,33°57'37.48"S,151°05'29.33"E,35°15'29.23"S,148°33'31.00"E,35°33'48.28"S,150°39'35.46"E,-34.61365,149.8353,-33.66115,149.03087,-33.96041,151.09148,-35.25812,148.55861,-35.56341,150.65985,LE07_L1TP_090084_20131120_20161119_01_T1,LE70900842013324ASA00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842013324ASA00
LE07_L1TP_090084_20131104_20161119_01_T1,LE70900842013308ASA00,2013/11/04,LANDSAT_7,OFF,T1,1,BUMPER, 090, 084,2016/11/19,2013:308:23:46:11.8427499,2013:308:23:46:38.5968124,ASA - Alice Springs  Austrailia,Day,24,26,48,4,4.545,2.906,3.495,9,N,LPGS_12.8.2,FULL,57.48162541,61.79452976,DE,-1.327127,ETM_L1TP,ETM,DEFINITIVE,14601,16661,7301,8331,7301,8331,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20131001_20131231_01.02,2,34°36'49.00"S,149°49'30.94"E,33°39'31.32"S,149°01'14.70"E,33°57'28.94"S,151°04'53.94"E,35°15'22.28"S,148°32'54.56"E,35°33'41.80"S,150°39'00.14"E,-34.61361,149.82526,-33.6587,149.02075,-33.95804,151.08165,-35.25619,148.54849,-35.56161,150.65004,LE07_L1TP_090084_20131104_20161119_01_T1,LE70900842013308ASA00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842013308ASA00
LE07_L1TP_090084_20131019_20161120_01_T1,LE70900842013292ASA00,2013/10/19,LANDSAT_7,OFF,T1,1,BUMPER, 090, 084,2016/11/20,2013:292:23:46:07.1718750,2013:292:23:46:33.9259375,ASA - Alice Springs  Austrailia,Day,3,3,146,4,4.702,3.287,3.362,9,N,LPGS_12.8.2,FULL,53.53527474,55.39995205,DE,-2.696457,ETM_L1TP,ETM,DEFINITIVE,14581,16661,7291,8331,7291,8331,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20131001_20131231_01.02,2,34°36'47.92"S,149°48'48.56"E,33°39'27.97"S,149°00'37.91"E,33°57'25.92"S,151°04'15.74"E,35°15'16.42"S,148°32'15.68"E,35°33'35.96"S,150°38'19.93"E,-34.61331,149.81349,-33.65777,149.01053,-33.9572,151.07104,-35.25456,148.53769,-35.55999,150.63887,LE07_L1TP_090084_20131019_20161120_01_T1,LE70900842013292ASA00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842013292ASA00
LE07_L1TP_090084_20131003_20161120_01_T1,LE70900842013276ASA00,2013/10/03,LANDSAT_7,OFF,T1,1,BUMPER, 090, 084,2016/11/20,2013:276:23:45:55.7728124,2013:276:23:46:22.5268125,ASA - Alice Springs  Austrailia,Day,0,0,177,4,4.188,3.103,2.813,9,N,LPGS_12.8.2,FULL,48.36781224,50.31012968,DE,15.799629,ETM_L1TP,ETM,DEFINITIVE,14541,16641,7271,8321,7271,8321,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20131001_20131231_01.02,2,34°36'47.02"S,149°49'34.10"E,33°39'32.44"S,149°01'22.84"E,33°57'30.46"S,151°04'58.87"E,35°15'21.42"S,148°32'59.57"E,35°33'41.00"S,150°39'02.05"E,-34.61306,149.82614,-33.65901,149.02301,-33.95846,151.08302,-35.25595,148.54988,-35.56139,150.65057,LE07_L1TP_090084_20131003_20161120_01_T1,LE70900842013276ASA00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842013276ASA00
LE07_L1TP_090084_20130917_20161121_01_T1,LE70900842013260ASA00,2013/09/17,LANDSAT_7,OFF,T1,1,BUMPER, 090, 084,2016/11/21,2013:260:23:45:44.8792500,2013:260:23:46:11.6333124,ASA - Alice Springs  Austrailia,Day,77,76,38,4,8.706,4.617,7.381,9,N,LPGS_12.8.2,FULL,42.60693538,46.42248645,DE,-3.71268,ETM_L1TP,ETM,DEFINITIVE,14581,16641,7291,8321,7291,8321,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20130807_20130930_01.02,2,34°36'46.48"S,149°49'59.56"E,33°39'37.12"S,149°01'45.80"E,33°57'34.99"S,151°05'18.82"E,35°15'27.58"S,148°33'23.36"E,35°33'47.16"S,150°39'22.72"E,-34.61291,149.83321,-33.66031,149.02939,-33.95972,151.08856,-35.25766,148.55649,-35.5631,150.65631,LE07_L1TP_090084_20130917_20161121_01_T1,LE70900842013260ASA00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842013260ASA00
LE07_L1TP_090084_20130901_20161121_01_T1,LE70900842013244ASA00,2013/09/01,LANDSAT_7,OFF,T1,1,BUMPER, 090, 084,2016/11/21,2013:244:23:45:33.9935624,2013:244:23:46:00.7476249,ASA - Alice Springs  Austrailia,Day,5,6,211,4,4.365,3.12,3.053,9,N,LPGS_12.8.2,FULL,36.87172777,43.33718727,DE,-2.278265,ETM_L1TP,ETM,DEFINITIVE,14521,16641,7261,8321,7261,8321,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20130807_20130930_01.02,2,34°36'45.90"S,149°50'08.66"E,33°39'22.39"S,149°02'00.53"E,33°57'19.98"S,151°05'32.71"E,35°15'13.39"S,148°33'38.95"E,35°33'32.90"S,150°39'37.40"E,-34.61275,149.83574,-33.65622,149.03348,-33.95555,151.09242,-35.25372,148.56082,-35.55914,150.66039,LE07_L1TP_090084_20130901_20161121_01_T1,LE70900842013244ASA00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842013244ASA00
