Landsat Product Identifier,Landsat Scene Identifier,Acquisition Date,Spacecraft Identifier,Scan Line Corrector,Collection Category,Collection Number,Sensor Mode,WRS Path,WRS Row,Date L-1 Generated,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model (meters),Geometric RMSE Model X,Geometric RMSE Model Y,Image Quality,Gain Change,Processing Software Version,Full Partial Scene,Sun Elevation L-1,Sun Azimuth L-1,Gap Phase Source,Gap Phase Statistic,Data Type Level-1,Sensor Identifier,Ephemeris Type,Panchromatic Lines,Panchromatic Samples,Reflective Lines,Reflective Samples,Thermal Lines,Thermal Samples,Map Projection Level-1,UTM Zone,Datum,Ellipsoid,Grid Cell Size Panchromatic,Grid Cell Size Reflective,Grid Cell Size Thermal,Calibration Parameter File,Scan Gap Interpolation,Center Latitude,Center Longitude,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LL Corner Lat,LL Corner Long,LR Corner Lat,LR Corner Long,Center Latitude dec,Center Longitude dec,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,LR Corner Lat dec,LR Corner Long dec,Display ID,Ordering ID,Browse Link
LE07_L1TP_090084_20050420_20170115_01_T1,LE70900842005110ASA00,2005/04/20,LANDSAT_7,OFF,T1,1,SAM, 090, 084,2017/01/15,2005:110:23:39:36.0519375,2005:110:23:40:03.2411249,ASA - Alice Springs  Austrailia,Day,48,49,18,4,3.93,2.45,3.073,9,N,LPGS_12.8.3,FULL,32.98161282,41.87781796,DE,15.393109,ETM_L1TP,ETM,DEFINITIVE,14621,16281,7311,8141,7311,8141,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20050401_20050630_01.02,2,34°36'52.52"S,149°50'57.88"E,33°38'55.57"S,149°02'52.66"E,33°56'52.12"S,151°06'31.07"E,35°16'19.27"S,148°34'09.34"E,35°34'38.10"S,150°40'16.54"E,-34.61459,149.84941,-33.64877,149.04796,-33.94781,151.10863,-35.27202,148.56926,-35.57725,150.67126,LE07_L1TP_090084_20050420_20170115_01_T1,LE70900842005110ASA00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842005110ASA00
LE07_L1TP_090084_20050404_20170115_01_T1,LE70900842005094ASA00,2005/04/04,LANDSAT_7,OFF,T1,1,SAM, 090, 084,2017/01/15,2005:094:23:39:42.5728750,2005:094:23:40:09.7600625,ASA - Alice Springs  Austrailia,Day,73,73,32,4,4.309,2.961,3.131,9,N,LPGS_12.8.3,FULL,37.11060716,46.98830091,DE,-15.26665,ETM_L1TP,ETM,DEFINITIVE,14681,16241,7341,8121,7341,8121,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20050401_20050630_01.02,2,34°36'52.88"S,149°49'23.52"E,33°38'55.93"S,149°01'21.58"E,33°56'52.84"S,151°04'58.62"E,35°16'18.19"S,148°32'32.42"E,35°34'36.95"S,150°38'38.33"E,-34.61469,149.8232,-33.64887,149.02266,-33.94801,151.08295,-35.27172,148.54234,-35.57693,150.64398,LE07_L1TP_090084_20050404_20170115_01_T1,LE70900842005094ASA00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842005094ASA00
LE07_L1TP_090084_20050319_20170115_01_T1,LE70900842005078ASA00,2005/03/19,LANDSAT_7,OFF,T1,1,SAM, 090, 084,2017/01/15,2005:078:23:39:46.2200624,2005:078:23:40:13.4053124,ASA - Alice Springs  Austrailia,Day,18,18,50,4,4.68,3.153,3.458,9,N,LPGS_12.8.3,FULL,41.181507,53.27777787,DE,15.915554,ETM_L1TP,ETM,DEFINITIVE,14681,16221,7341,8111,7341,8111,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20050101_20050331_01.02,2,34°36'51.05"S,149°48'12.10"E,33°38'48.41"S,149°00'12.67"E,33°56'44.88"S,151°03'47.59"E,35°16'10.42"S,148°31'28.34"E,35°34'29.21"S,150°37'31.91"E,-34.61418,149.80336,-33.64678,149.00352,-33.9458,151.06322,-35.26956,148.52454,-35.57478,150.62553,LE07_L1TP_090084_20050319_20170115_01_T1,LE70900842005078ASA00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842005078ASA00
LE07_L1TP_090084_20050303_20170116_01_T1,LE70900842005062ASN00,2005/03/03,LANDSAT_7,OFF,T1,1,, 090, 084,2017/01/16,2005:062:23:39:45.4548749,2005:062:23:40:12.6367499,ASN - Alice Springs  Australia,Day,18,18,105,4,4.516,3.209,3.178,9,N,LPGS_12.8.3,FULL,44.93728945,60.32155699,DE,14.356578,ETM_L1TP,ETM,DEFINITIVE,14681,16221,7341,8111,7341,8111,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20050101_20050331_01.02,2,34°37'45.12"S,149°42'57.96"E,33°39'39.60"S,148°55'00.84"E,33°57'39.24"S,150°58'34.32"E,35°17'02.04"S,148°26'10.32"E,35°35'23.64"S,150°32'12.48"E,-34.6292,149.7161,-33.661,148.9169,-33.9609,150.9762,-35.2839,148.4362,-35.5899,150.5368,LE07_L1TP_090084_20050303_20170116_01_T1,LE70900842005062ASN00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842005062ASN00
LE07_L1TP_090084_20050215_20170116_01_T1,LE70900842005046ASN00,2005/02/15,LANDSAT_7,OFF,T1,1,, 090, 084,2017/01/16,2005:046:23:39:40.9207500,2005:046:23:40:08.1008124,ASN - Alice Springs  Australia,Day,18,19,75,4,4.257,3.062,2.958,9,N,LPGS_12.8.3,FULL,48.40396655,67.32360956,DE,15.149425,ETM_L1TP,ETM,DEFINITIVE,14681,16221,7341,8111,7341,8111,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20050101_20050331_01.02,2,34°37'16.68"S,149°43'04.44"E,33°39'15.12"S,148°55'07.32"E,33°57'15.12"S,150°58'39.36"E,35°16'37.56"S,148°26'18.24"E,35°34'59.88"S,150°32'18.96"E,-34.6213,149.7179,-33.6542,148.9187,-33.9542,150.9776,-35.2771,148.4384,-35.5833,150.5386,LE07_L1TP_090084_20050215_20170116_01_T1,LE70900842005046ASN00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842005046ASN00
LE07_L1TP_090084_20050130_20170117_01_T1,LE70900842005030ASA00,2005/01/30,LANDSAT_7,OFF,T1,1,SAM, 090, 084,2017/01/17,2005:030:23:39:31.4449999,2005:030:23:39:58.6231874,ASA - Alice Springs  Austrailia,Day,34,34,24,4,8.324,5.645,6.117,9,N,LPGS_12.8.3,FULL,51.6004171,73.41709126,DE,-11.959885,ETM_L1TP,ETM,DEFINITIVE,14681,16241,7341,8121,7341,8121,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20050101_20050331_01.02,2,34°36'48.92"S,149°49'10.81"E,33°38'52.55"S,149°01'10.27"E,33°56'50.32"S,151°04'43.46"E,35°16'12.54"S,148°32'21.95"E,35°34'32.20"S,150°38'23.71"E,-34.61359,149.81967,-33.64793,149.01952,-33.94731,151.07874,-35.27015,148.53943,-35.57561,150.63992,LE07_L1TP_090084_20050130_20170117_01_T1,LE70900842005030ASA00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842005030ASA00
LE07_L1TP_090084_20050114_20170117_01_T1,LE70900842005014ASN00,2005/01/14,LANDSAT_7,OFF,T1,1,, 090, 084,2017/01/17,2005:014:23:39:28.4635624,2005:014:23:39:55.6401875,ASN - Alice Springs  Australia,Day,20,22,53,4,5.047,3.698,3.435,9,N,LPGS_12.8.3,FULL,54.3280809,77.8928781,DE,-14.945902,ETM_L1TP,ETM,DEFINITIVE,14661,16241,7331,8121,7331,8121,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20050101_20050331_01.02,2,34°36'21.60"S,149°43'30.72"E,33°38'21.84"S,148°55'32.52"E,33°56'23.64"S,150°59'05.28"E,35°15'41.04"S,148°26'42.36"E,35°34'04.44"S,150°32'43.80"E,-34.606,149.7252,-33.6394,148.9257,-33.9399,150.9848,-35.2614,148.4451,-35.5679,150.5455,LE07_L1TP_090084_20050114_20170117_01_T1,LE70900842005014ASN00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842005014ASN00
LE07_L1TP_090084_20041229_20170117_01_T1,LE70900842004364ASN00,2004/12/29,LANDSAT_7,OFF,T1,1,, 090, 084,2017/01/17,2004:364:23:39:24.5756250,2004:364:23:39:51.7487499,ASN - Alice Springs  Australia,Day,30,31,45,4,5.567,4.931,2.585,9,N,LPGS_12.8.3,FULL,56.67768391,79.65370378,DE,-3.598614,ETM_L1TP,ETM,DEFINITIVE,14621,16281,7311,8141,7311,8141,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20041006_20041231_01.02,2,34°35'53.52"S,149°42'52.92"E,33°37'58.08"S,148°54'54.36"E,33°56'00.24"S,150°58'28.92"E,35°15'15.84"S,148°26'02.76"E,35°33'39.24"S,150°32'06.00"E,-34.5982,149.7147,-33.6328,148.9151,-33.9334,150.9747,-35.2544,148.4341,-35.5609,150.535,LE07_L1TP_090084_20041229_20170117_01_T1,LE70900842004364ASN00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842004364ASN00
LE07_L1TP_090084_20041213_20170117_01_T1,LE70900842004348ASN00,2004/12/13,LANDSAT_7,OFF,T1,1,, 090, 084,2017/01/17,2004:348:23:39:15.5886250,2004:348:23:39:42.7601875,ASN - Alice Springs  Australia,Day,47,48,52,4,5.123,3.831,3.402,9,N,LPGS_12.8.3,FULL,58.27018407,78.17853446,DE,-1.683726,ETM_L1TP,ETM,DEFINITIVE,14621,16281,7311,8141,7311,8141,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20041006_20041231_01.02,2,34°35'34.80"S,149°43'25.68"E,33°37'37.20"S,148°55'26.04"E,33°55'38.64"S,150°59'00.60"E,35°14'55.68"S,148°26'35.88"E,35°33'19.08"S,150°32'38.76"E,-34.593,149.7238,-33.627,148.9239,-33.9274,150.9835,-35.2488,148.4433,-35.5553,150.5441,LE07_L1TP_090084_20041213_20170117_01_T1,LE70900842004348ASN00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842004348ASN00
LE07_L1TP_090084_20041127_20170117_01_T1,LE70900842004332ASN00,2004/11/27,LANDSAT_7,OFF,T1,1,, 090, 084,2017/01/17,2004:332:23:39:09.3936250,2004:332:23:39:36.5640624,ASN - Alice Springs  Australia,Day,25,25,94,4,4.724,3.552,3.114,9,N,LPGS_12.8.3,FULL,58.621626,73.60292912,DE,-10.252313,ETM_L1TP,ETM,DEFINITIVE,14661,16241,7331,8121,7331,8121,UTM,55,WGS84,WGS84,15,30,30,LE07CPF_20041006_20041231_01.02,2,34°35'17.52"S,149°43'04.44"E,33°37'11.28"S,148°55'07.68"E,33°55'12.00"S,150°58'40.44"E,35°14'30.12"S,148°26'19.32"E,35°32'52.80"S,150°32'20.40"E,-34.5882,149.7179,-33.6198,148.9188,-33.92,150.9779,-35.2417,148.4387,-35.548,150.539,LE07_L1TP_090084_20041127_20170117_01_T1,LE70900842004332ASN00,https://earthexplorer.usgs.gov/browse-link/12267/LE70900842004332ASN00
